VibAccel_m_s2,RUL_seconds
25.0,350
25.0,385
25.0,417
25.0,367
25.0,300
25.0,389
25.0,388
25.0,299
25.0,403
25.0,336
25.090977189112,369
25.090977189112,335
25.090977189112,430
25.090977189112,404
25.090977189112,382
25.090977189112,383
25.090977189112,345
25.090977189112,374
25.090977189112,369
25.090977189112,484
25.513091009325,338
25.513091009325,298
25.513091009325,327
25.513091009325,398
25.513091009325,348
25.513091009325,335
25.513091009325,320
25.513091009325,395
25.513091009325,367
25.513091009325,307
24.7666478647886,361
24.7666478647886,301
24.7666478647886,397
24.7666478647886,406
24.7666478647886,418
24.7666478647886,384
24.7666478647886,343
24.7666478647886,347
24.7666478647886,350
24.7666478647886,364
24.70538869329864,365
24.70538869329864,364
24.70538869329864,377
24.70538869329864,357
24.70538869329864,361
24.70538869329864,279
24.70538869329864,409
24.70538869329864,449
24.70538869329864,409
24.70538869329864,405
23.099450225007967,394
23.099450225007967,425
23.099450225007967,371
23.099450225007967,404
23.099450225007967,430
23.099450225007967,412
23.099450225007967,462
23.099450225007967,366
23.099450225007967,368
23.099450225007967,331
20.33429272545665,378
20.33429272545665,354
20.33429272545665,321
20.33429272545665,413
20.33429272545665,293
,418
20.33429272545665,311
20.33429272545665,371
20.33429272545665,350
20.33429272545665,394
23.307224603132187,341
23.307224603132187,362
23.307224603132187,362
23.307224603132187,391
23.307224603132187,328
23.307224603132187,281
23.307224603132187,346
23.307224603132187,463
23.307224603132187,409
23.307224603132187,406
23.07487280015395,454
23.07487280015395,411
23.07487280015395,447
23.07487280015395,410
23.07487280015395,396
23.07487280015395,403
23.07487280015395,342
23.07487280015395,376
23.07487280015395,362
23.07487280015395,383
24.88541137990048,380
24.88541137990048,449
24.88541137990048,407
24.88541137990048,343
24.88541137990048,386
24.88541137990048,445
24.88541137990048,353
24.88541137990048,416
24.88541137990048,346
24.88541137990048,286
26.62786513272692,372
26.62786513272692,361
26.62786513272692,433
26.62786513272692,347
26.62786513272692,342
26.62786513272692,442
26.62786513272692,336
26.62786513272692,398
26.62786513272692,307
26.62786513272692,382
26.09852702829632,324
26.09852702829632,343
26.09852702829632,411
26.09852702829632,394
26.09852702829632,365
26.09852702829632,398
26.09852702829632,378
26.09852702829632,326
26.09852702829632,455
26.09852702829632,361
26.272383311358123,344
26.272383311358123,336
26.272383311358123,359
26.272383311358123,386
26.272383311358123,365
26.272383311358123,291
26.272383311358123,76
26.272383311358123,371
26.272383311358123,384
26.272383311358123,364
23.785533059492582,356
23.785533059492582,338
23.785533059492582,369
23.785533059492582,362
23.785533059492582,325
23.785533059492582,472
23.785533059492582,361
23.785533059492582,389
23.785533059492582,371
23.785533059492582,321
25.980537365784844,413
25.980537365784844,333
25.980537365784844,378
25.980537365784844,406
25.980537365784844,399
25.980537365784844,339
25.980537365784844,384
25.980537365784844,389
25.980537365784844,354
25.980537365784844,318
23.27456914700776,374
23.27456914700776,386
,325
23.27456914700776,362
23.27456914700776,351
23.27456914700776,349
23.27456914700776,356
23.27456914700776,330
23.27456914700776,421
23.27456914700776,322
23.83066241642044,442
23.83066241642044,347
23.83066241642044,395
23.83066241642044,423
23.83066241642044,323
23.83066241642044,445
23.83066241642044,366
23.83066241642044,443
23.83066241642044,450
23.83066241642044,375
23.36388969316813,361
23.36388969316813,368
23.36388969316813,364
23.36388969316813,349
23.36388969316813,404
23.36388969316813,396
23.36388969316813,412
23.36388969316813,378
23.36388969316813,332
23.36388969316813,389
24.706750716706992,335
24.706750716706992,319
24.706750716706992,432
24.706750716706992,339
24.706750716706992,386
24.706750716706992,351
24.706750716706992,373
24.706750716706992,92
24.706750716706992,361
24.706750716706992,369
25.183509165380592,312
25.183509165380592,371
25.183509165380592,306
,353
25.183509165380592,400
25.183509165380592,373
25.183509165380592,429
25.183509165380592,308
25.183509165380592,417
25.183509165380592,357
23.30926667530053,413
23.30926667530053,368
23.30926667530053,384
23.30926667530053,315
23.30926667530053,409
23.30926667530053,386
23.30926667530053,430
23.30926667530053,349
23.30926667530053,422
,304
23.807438972830465,334
23.807438972830465,405
23.807438972830465,472
23.807438972830465,423
23.807438972830465,394
23.807438972830465,378
23.807438972830465,337
23.807438972830465,310
23.807438972830465,364
23.807438972830465,354
22.90159243337901,310
22.90159243337901,368
22.90159243337901,411
22.90159243337901,350
22.90159243337901,373
22.90159243337901,353
22.90159243337901,366
22.90159243337901,406
22.90159243337901,339
22.90159243337901,429
23.62318459848313,350
23.62318459848313,423
23.62318459848313,385
23.62318459848313,355
23.62318459848313,436
23.62318459848313,435
23.62318459848313,306
23.62318459848313,386
23.62318459848313,342
23.62318459848313,420
25.44977981054712,362
25.44977981054712,346
25.44977981054712,324
25.44977981054712,357
25.44977981054712,400
25.44977981054712,466
25.44977981054712,428
25.44977981054712,357
25.44977981054712,415
25.44977981054712,349
23.577353248097594,342
23.577353248097594,349
23.577353248097594,412
23.577353248097594,375
23.577353248097594,473
23.577353248097594,378
23.577353248097594,344
23.577353248097594,412
23.577353248097594,458
23.577353248097594,469
27.483879639294184,408
27.483879639294184,400
27.483879639294184,423
27.483879639294184,328
27.483879639294184,407
27.483879639294184,350
27.483879639294184,428
27.483879639294184,371
27.483879639294184,371
27.483879639294184,348
26.20757802429035,328
26.20757802429035,410
26.20757802429035,393
26.20757802429035,392
26.20757802429035,336
26.20757802429035,410
26.20757802429035,285
26.20757802429035,352
26.20757802429035,339
26.20757802429035,357
27.353605905957263,333
27.353605905957263,398
27.353605905957263,399
27.353605905957263,372
27.353605905957263,418
27.353605905957263,321
27.353605905957263,384
27.353605905957263,358
27.353605905957263,429
27.353605905957263,367
30.314188620220776,441
30.314188620220776,396
30.314188620220776,332
30.314188620220776,384
30.314188620220776,421
30.314188620220776,345
30.314188620220776,443
30.314188620220776,386
30.314188620220776,339
30.314188620220776,366
25.96603945958396,369
25.96603945958396,371
25.96603945958396,411
25.96603945958396,422
25.96603945958396,463
25.96603945958396,325
25.96603945958396,295
25.96603945958396,398
25.96603945958396,419
25.96603945958396,411
25.58681025241722,366
25.58681025241722,429
25.58681025241722,410
25.58681025241722,265
25.58681025241722,381
25.58681025241722,436
25.58681025241722,369
25.58681025241722,389
25.58681025241722,411
25.58681025241722,426
25.680922581371853,379
25.680922581371853,331
25.680922581371853,384
25.680922581371853,339
25.680922581371853,376
25.680922581371853,373
25.680922581371853,344
25.680922581371853,335
25.680922581371853,409
25.680922581371853,326
24.80927250893916,411
24.80927250893916,420
24.80927250893916,380
24.80927250893916,329
24.80927250893916,396
24.80927250893916,100
24.80927250893916,337
24.80927250893916,424
24.80927250893916,424
24.80927250893916,433
27.46138149444748,465
27.46138149444748,467
27.46138149444748,401
27.46138149444748,431
27.46138149444748,420
27.46138149444748,380
27.46138149444748,399
27.46138149444748,426
27.46138149444748,404
27.46138149444748,404
26.86130142973669,401
26.86130142973669,396
26.86130142973669,455
26.86130142973669,380
26.86130142973669,380
26.86130142973669,419
26.86130142973669,408
26.86130142973669,460
26.86130142973669,385
26.86130142973669,404
28.788221501123544,410
28.788221501123544,433
28.788221501123544,392
28.788221501123544,464
28.788221501123544,368
28.788221501123544,468
28.788221501123544,417
28.788221501123544,362
,399
28.788221501123544,346
27.027723770674577,360
27.027723770674577,376
27.027723770674577,430
27.027723770674577,425
27.027723770674577,391
27.027723770674577,438
27.027723770674577,345
27.027723770674577,354
27.027723770674577,334
27.027723770674577,453
27.53476672400305,486
27.53476672400305,394
27.53476672400305,318
27.53476672400305,387
27.53476672400305,403
27.53476672400305,404
27.53476672400305,445
27.53476672400305,418
,340
27.53476672400305,374
26.62109030866145,354
26.62109030866145,356
26.62109030866145,315
26.62109030866145,326
26.62109030866145,397
26.62109030866145,399
26.62109030866145,378
26.62109030866145,402
26.62109030866145,365
26.62109030866145,325
26.21261075933893,430
26.21261075933893,376
26.21261075933893,380
26.21261075933893,459
26.21261075933893,388
26.21261075933893,393
26.21261075933893,449
26.21261075933893,365
26.21261075933893,322
26.21261075933893,358
27.01173018890841,372
27.01173018890841,386
27.01173018890841,349
27.01173018890841,363
27.01173018890841,343
27.01173018890841,369
27.01173018890841,332
27.01173018890841,336
27.01173018890841,446
27.01173018890841,321
27.962241852141165,341
27.962241852141165,463
27.962241852141165,482
27.962241852141165,450
27.962241852141165,446
27.962241852141165,352
27.962241852141165,434
27.962241852141165,429
27.962241852141165,363
27.962241852141165,366
26.312100375254307,403
26.312100375254307,395
26.312100375254307,378
26.312100375254307,384
26.312100375254307,282
26.312100375254307,369
26.312100375254307,437
26.312100375254307,78
26.312100375254307,328
26.312100375254307,403
25.53069520486231,376
25.53069520486231,356
25.53069520486231,388
25.53069520486231,444
25.53069520486231,443
25.53069520486231,378
25.53069520486231,396
25.53069520486231,336
25.53069520486231,404
25.53069520486231,379
25.442781290820506,366
25.442781290820506,289
25.442781290820506,399
25.442781290820506,347
25.442781290820506,393
25.442781290820506,383
25.442781290820506,350
25.442781290820506,379
25.442781290820506,405
25.442781290820506,420
26.186330326499284,376
26.186330326499284,358
26.186330326499284,335
26.186330326499284,417
26.186330326499284,355
26.186330326499284,409
26.186330326499284,367
26.186330326499284,374
26.186330326499284,466
26.186330326499284,515
24.68467780007802,382
24.68467780007802,413
24.68467780007802,355
24.68467780007802,334
24.68467780007802,419
24.68467780007802,360
24.68467780007802,390
24.68467780007802,392
24.68467780007802,444
24.68467780007802,500
25.670128728430228,378
25.670128728430228,384
25.670128728430228,405
25.670128728430228,398
25.670128728430228,346
25.670128728430228,364
25.670128728430228,398
25.670128728430228,372
25.670128728430228,365
25.670128728430228,328
28.286729332881844,417
,456
28.286729332881844,373
28.286729332881844,461
28.286729332881844,346
28.286729332881844,419
28.286729332881844,483
28.286729332881844,396
28.286729332881844,400
28.286729332881844,352
25.914707038678007,369
25.914707038678007,391
25.914707038678007,380
25.914707038678007,400
25.914707038678007,371
25.914707038678007,398
25.914707038678007,434
25.914707038678007,453
25.914707038678007,382
25.914707038678007,399
26.389091700194147,371
26.389091700194147,312
26.389091700194147,373
26.389091700194147,377
26.389091700194147,379
26.389091700194147,416
26.389091700194147,358
26.389091700194147,372
26.389091700194147,408
26.389091700194147,324
29.66935117053597,464
29.66935117053597,423
29.66935117053597,337
29.66935117053597,362
29.66935117053597,452
29.66935117053597,471
29.66935117053597,301
29.66935117053597,381
29.66935117053597,390
29.66935117053597,347
27.80011902238736,356
27.80011902238736,372
27.80011902238736,387
27.80011902238736,441
27.80011902238736,472
27.80011902238736,460
27.80011902238736,336
27.80011902238736,328
27.80011902238736,368
27.80011902238736,335
26.415469706462037,391
26.415469706462037,382
26.415469706462037,266
26.415469706462037,401
26.415469706462037,347
26.415469706462037,405
26.415469706462037,326
26.415469706462037,321
26.415469706462037,479
26.415469706462037,426
27.51623547066785,437
27.51623547066785,440
27.51623547066785,374
27.51623547066785,414
27.51623547066785,450
27.51623547066785,464
27.51623547066785,404
27.51623547066785,370
27.51623547066785,421
27.51623547066785,423
27.67567700430674,430
27.67567700430674,394
27.67567700430674,430
27.67567700430674,433
27.67567700430674,456
27.67567700430674,451
27.67567700430674,295
27.67567700430674,439
27.67567700430674,426
27.67567700430674,400
29.066927152893797,433
29.066927152893797,421
29.066927152893797,314
29.066927152893797,349
29.066927152893797,373
29.066927152893797,413
29.066927152893797,451
29.066927152893797,376
29.066927152893797,441
29.066927152893797,415
26.119835639421293,389
26.119835639421293,302
26.119835639421293,412
26.119835639421293,324
26.119835639421293,372
26.119835639421293,347
26.119835639421293,384
26.119835639421293,416
26.119835639421293,440
26.119835639421293,375
27.1387452898485,325
27.1387452898485,366
27.1387452898485,455
27.1387452898485,400
27.1387452898485,445
27.1387452898485,350
27.1387452898485,326
27.1387452898485,433
27.1387452898485,397
27.1387452898485,428
27.746217335407,402
27.746217335407,438
27.746217335407,376
27.746217335407,452
27.746217335407,399
27.746217335407,444
27.746217335407,428
27.746217335407,401
27.746217335407,449
27.746217335407,415
27.778121039003548,436
27.778121039003548,392
27.778121039003548,392
27.778121039003548,390
27.778121039003548,455
27.778121039003548,406
27.778121039003548,401
27.778121039003548,483
27.778121039003548,366
27.778121039003548,381
26.882652917000424,383
26.882652917000424,442
26.882652917000424,457
26.882652917000424,390
26.882652917000424,475
26.882652917000424,460
26.882652917000424,363
26.882652917000424,302
26.882652917000424,378
26.882652917000424,427
27.83436242651105,367
27.83436242651105,368
27.83436242651105,400
27.83436242651105,395
27.83436242651105,499
27.83436242651105,420
27.83436242651105,406
27.83436242651105,368
27.83436242651105,471
27.83436242651105,349
29.832165703790817,357
29.832165703790817,452
