Current_A,RUL_seconds
5.0,350
4.746533746409254,385
5.266443663762112,417
5.412357398149173,367
5.400643708005434,300
4.886710518503995,389
5.485961522380163,388
4.942891071969839,299
5.22274715440579,403
5.0276613750966295,336
4.841240700095438,369
,335
5.091402483408286,430
4.7725551614851,404
4.610354921947679,382
4.943651865426707,383
5.218274207067017,345
5.333426096546202,374
5.201909021455173,369
4.713495528993567,484
4.882119736863216,338
4.400923302800196,298
4.809480832075809,327
5.0588500459588,398
5.091660290736181,348
4.799281627871994,335
5.184517246115187,320
5.23223671103037,395
4.465969131747449,367
4.250770484146883,307
4.736313632029667,361
4.744338482619511,301
4.563396305850674,397
4.703486181710821,406
4.5627759309108535,418
4.948071307543795,384
4.982376430030782,343
5.023108001470975,347
4.678557223626956,350
4.284249361672912,364
4.742784359201926,365
4.987676845770274,364
4.674671504562209,377
4.9052952652475454,357
4.697597566369078,361
4.646563037687266,279
4.784022815277634,409
5.504400070170417,449
5.522145064457384,409
4.9672365004853125,405
5.172810175703821,394
5.192987118230471,425
5.231495479399279,371
5.1997954325104825,404
5.091587893878212,430
4.445332500329006,412
4.467511424820482,462
4.843662318915582,366
5.077733444271473,368
5.191978670144822,331
5.215071362067657,378
4.56156019304452,354
4.756249740754268,321
5.288977277777538,413
4.402210730434893,293
4.899305854796508,418
5.697721524913897,311
5.39959760335829,371
5.320658541655481,350
5.475632808560013,394
5.2627851019053855,341
5.47137274950551,362
4.596039272320514,362
4.710487718498603,391
5.547860910040906,328
5.911630588729886,281
5.920597774801898,346
5.823627992792071,463
5.212665997776862,409
5.120997505010714,406
5.444542350794071,454
5.377269923743265,411
5.490662639315572,447
5.701973732780001,410
5.461062829497285,396
5.2279312436805006,403
5.137472440484034,342
5.274444433113331,376
5.350222577555977,362
5.110692996218661,383
4.571771933143373,380
4.9869760029175,449
5.001329535599308,407
4.892834324071373,343
4.939070127643106,386
4.926484866203975,445
4.367204863759249,353
5.025851260558022,416
5.305389490971585,346
5.373816754891859,286
5.767395413929603,372
5.136037831805115,361
5.237164648701387,433
5.44709164083456,347
5.283033105930113,342
5.299832079947495,442
5.072326133882103,336
5.307266752935237,398
5.039758755135121,307
5.0379059226166,382
5.750567795819925,324
5.861548968413911,343
5.471599487550592,411
5.039377388102087,394
4.913803185851278,365
5.5391155195176935,398
5.388464615762872,378
5.492639518927259,326
5.140805879183152,455
4.984909757249756,361
5.161525796464623,344
5.462845324341072,336
5.983775636715121,359
5.308614515141271,386
4.912241302847883,365
4.682206563888027,291
5.306725006865548,76
5.544387754876932,371
4.898456216589074,384
5.006302485350823,364
5.04740330068862,356
5.337982147134496,338
4.985540984806803,369
4.554661617108256,362
4.49846102146994,325
5.470818694271967,472
5.572460549275921,361
5.469841461698167,389
5.349757613821991,371
5.133915919767559,321
5.184823891333318,413
5.310281953241976,333
5.407088724287123,378
5.423868588984521,406
4.979310842658061,399
5.000434224995137,339
5.4012700985858775,384
5.0544245291462735,389
5.250376893835222,354
5.363842331718976,318
5.410176426513404,374
5.749601618968917,386
5.437585891836574,325
5.2912156052077375,362
5.169896311314491,351
5.240255277743121,349
5.042918191146506,356
5.168017766296511,330
5.113030958898505,421
5.287242102725894,322
5.055911012119647,442
5.250197893510837,347
5.2213651219880495,395
4.905659869389424,423
5.115413581518253,323
4.850839445698742,445
5.515713784662937,366
5.132964502419085,443
6.0407863517782445,450
5.5181476557797335,375
6.197849771581901,361
5.635754135980915,368
5.580618712783087,364
5.378857892916355,349
5.357295816334626,404
4.596488789853455,396
4.761010780067801,412
4.634250750607624,378
4.925981509930348,332
4.9613672673271845,389
4.595118364034182,335
4.966199458250654,319
5.239280722981665,432
5.354573561406375,339
5.204566156418467,386
5.724916557228749,351
5.506128979409346,373
4.913700067828474,92
4.985549766246625,361
4.941976722699606,369
5.458523791586135,312
5.445516710233266,371
5.114976147440494,306
5.155636886336256,353
5.246543429817865,400
4.80435334879498,373
5.2317735062731066,429
4.943504048291272,308
5.190277608341623,417
5.137493975322656,357
5.049146064101199,413
5.0209001723506015,368
5.364600357304592,384
4.985556177607299,315
4.682665995847285,409
4.846929153347202,386
4.905629112259836,430
4.499646274945213,349
4.779709403725314,422
4.719560372223028,304
4.983194061936048,334
5.401483385348212,405
5.012591026156949,472
5.22654450016594,423
5.597886156894231,394
5.338818856493722,378
4.79454233584809,337
5.082161067349835,310
5.644164630007169,364
5.79921751549243,354
6.077033016005559,310
5.549104325251814,368
5.036328679238313,411
5.222020490162841,350
5.344731432894123,373
5.362570219946379,353
5.270159720065757,366
5.07180940953752,406
5.396836083436349,339
5.307715457377734,429
5.3155311698001535,350
4.973601859131231,423
5.674704369691374,385
5.564925523078605,355
5.086034152519669,436
4.759746147397951,435
4.90710947158902,306
5.001939313323327,386
5.753477724611557,342
5.581960513242523,420
4.9433507483139145,362
5.129931726430166,346
5.402222218911036,324
5.438757151098105,357
5.257093917119248,400
5.41719580531073,466
4.810348791167639,428
5.149617469799358,357
5.624188914496407,415
6.153916019179765,349
5.506483901998963,342
5.743557415034321,349
6.0526278414805335,412
5.170733821336219,375
4.842296509955316,473
4.664342927673453,378
4.816827649348676,344
5.204292712616241,412
4.903806154723917,458
5.252979201049551,469
5.091731091060968,408
4.855460991333496,400
