Temperature_C,RUL_seconds
55.0,350
56.35044596532281,385
55.31588599296526,417
56.92533753686011,367
60.09814372263156,300
56.94481093380017,389
55.37284769524426,388
,299
59.35778801980447,403
55.957901552672624,336
56.99511002469784,369
54.80223309179493,335
53.704210751722,430
55.07062670863119,404
49.93933851860099,382
47.88693152552701,383
50.00448839839434,345
49.85145764845383,374
53.36271256256913,369
51.82286563807377,484
49.69604555826464,338
56.40776550955412,298
55.201436066250565,327
55.394851721565374,398
51.46707144891562,348
51.88482615399575,335
53.86768588712634,320
51.45660006948903,395
54.37778236878568,367
53.20692223573844,307
53.460301264838286,361
52.75461373335054,301
59.03218652418466,397
57.1380368404537,406
53.37624244104171,418
56.5766933716502,384
52.66442699201149,343
54.5731605470762,347
49.67714337545144,350
48.93879878989116,364
52.69191106734696,365
56.03545843773025,364
56.18072341740232,377
55.4830677831629,357
54.63816684190664,361
51.04134335839439,279
51.29601790008213,409
52.12786601080862,449
56.64640080164369,409
56.983863493065634,405
51.46927284188461,394
54.35186833461372,425
53.88307276260508,371
52.86536316124859,404
55.84037903944032,430
58.46471487499285,412
59.51229543423688,462
55.26039697273314,366
54.57011639326016,368
55.958915394265546,331
58.39752993973199,378
55.69374924653577,354
55.1390042751623,321
52.38046061482905,413
50.76318919337255,293
55.38278479536384,418
59.16526450119109,311
57.204882335360345,371
59.133310627784894,350
58.36905627377454,394
55.273341379448816,341
56.44772812121111,362
60.216504629765154,362
57.85611621613584,391
61.001842374418025,328
51.281507809867136,281
55.718440895333785,346
55.95744939981497,463
55.03925817289656,409
55.63988776329983,406
50.33066346060185,454
52.45402415448561,411
55.077673217038296,447
59.420258201392336,410
56.20655745636869,396
53.820754013500895,403
53.4606908630873,342
57.11163867460527,376
57.35780429785859,362
55.16755578799378,383
56.89325516054519,380
56.6370409493016,449
58.866814501860674,407
55.4754647931436,343
54.79529361287485,386
54.28585169265124,445
51.14298004230672,353
54.32720674774134,416
55.82929177374963,346
55.893938332781445,286
55.28371672632311,372
51.79513664343413,361
52.74125145210858,433
53.429368003221,347
52.53725256590984,342
53.826517519136985,442
56.002203941800765,336
61.09645672642113,398
59.02688597339132,307
58.22077098792426,382
56.925967633469725,324
51.3035315459566,343
53.60605194849842,411
54.99616453687514,394
62.18399604993093,365
58.6124263028809,398
58.164836384248254,378
57.03778406634879,326
53.41719094378954,455
57.85258835646787,361
59.01952603609946,344
59.71320303753849,336
55.47354995238872,359
59.60125468021016,386
54.09720473940677,365
56.71933169518624,291
62.36475080951162,76
56.60342139337176,371
54.87283987929205,384
55.81025035340873,364
54.65515100113685,356
51.254832374384286,338
53.93122208623957,369
52.22071429233643,362
55.51701707179642,325
53.40866022804739,472
59.02638656645113,361
55.54027905733125,389
55.04707887069269,371
57.87117679583292,321
53.76803071797854,413
55.65856791834086,333
59.52361455138387,378
53.59128177360428,406
55.46846526509288,399
56.61486251734862,339
58.6019323815376,384
54.14941131545424,389
51.70231716530964,354
55.45787713305022,318
56.73290510687405,374
57.24952240805382,386
57.77154139869367,325
55.2657044823348,362
56.48056788646476,351
57.25684004290702,349
54.92956099805407,356
60.73689049019661,330
59.886941568354935,421
54.97072702175611,322
57.50646179256722,442
54.37462139612701,347
57.57009721903847,395
60.175541453063325,423
56.13883954210743,323
58.94207229319477,445
58.861707121325466,366
59.93120356183532,443
63.37235509643634,450
59.31366618411474,375
55.91640587534182,361
53.85579787147968,368
53.029118113290245,364
54.61491402536401,349
56.541719147633486,404
57.33569833300314,396
59.22363891479195,412
57.97394049071616,378
61.24314870035856,332
58.24325743821807,389
64.80696166507815,335
62.43827809097894,319
57.25492784844958,432
54.09078673067757,339
56.70741934138256,386
56.11432806421568,351
58.35355029203756,373
58.82771822079762,92
57.59503864538976,361
54.89360953960693,369
51.74376571879186,312
53.057955685423416,371
57.237532063600256,306
57.59771043302609,353
53.84086515579111,400
55.79813860070155,373
57.35415615892995,429
54.710004872048,308
56.194013553744334,417
56.68273463162732,357
53.68852232946357,413
56.24807187548063,368
58.08054853154962,384
60.411516042177134,315
61.502635538650296,409
55.48783051778858,386
53.672615263210346,430
56.69233753817182,349
58.20343209516369,422
58.96699213084812,304
68.36512398778913,334
64.20782433107205,405
63.658401904008656,472
62.89807226369013,423
61.70546258710389,394
58.50377742006518,378
59.80798118416602,337
56.32884006246377,310
56.041088790188816,364
55.230742734947015,354
56.36171185657909,310
62.96031423439885,368
54.97302060380007,411
57.87849111781886,350
53.12858926633884,373
53.838352872960925,353
58.412214501167945,366
57.93713138576478,406
54.62071895976271,339
53.94569916637853,429
57.37901818918957,350
55.29336830100573,423
56.81156532601017,385
57.113862927013976,355
55.38723957254229,436
62.07649006261901,435
61.34863924825871,306
53.80983854991502,386
56.01634031684355,342
54.83393100460738,420
58.3357091407976,362
,346
56.14146765672026,324
58.0651376394797,357
60.00563300936936,400
55.40212779107857,466
55.442607974493846,428
55.08823430095463,357
54.43399551995478,415
60.64217555284497,349
60.07757318753694,342
55.30201755435564,349
58.80143591328199,412
63.80732120302064,375
63.3726793460906,473
56.26998372159857,378
55.51808262275001,344
59.87480335908615,412
56.72637463528846,458
58.265758233989416,469
59.933226846098734,408
56.17731363382296,400
56.64592691109921,423
48.29410563440415,328
50.10834499172939,407
53.10395146756076,350
51.91924766013626,428
59.10799376606076,371
54.4380468337805,371
54.78090658570716,348
56.4980270995063,328
60.89959599435868,410
55.33668441797284,393
59.5771675799774,392
58.58906465009213,336
55.42187825936863,410
57.74060483841265,285
58.19431629844255,352
56.267690989596886,339
57.11799457268009,357
56.31889839275593,333
57.27075754350519,398
59.23250613002943,399
62.71243535055643,372
56.83261437567591,418
62.99855682996655,321
55.05626118584559,384
55.9504902782508,358
58.400439961888544,429
58.80019462103956,367
56.56466274244185,441
56.570812272838296,396
55.80927073413068,332
55.17287308752581,384
58.74443950970754,421
59.20479290523172,345
56.60472521012358,443
59.6090195496856,386
59.51650766585866,339
60.83982192724045,366
61.01129968180864,369
57.16330390836023,371
55.96965277259747,411
58.9075570527883,422
60.01136375478431,463
58.8633799354792,325
58.66715238319375,295
61.706495275788754,398
58.18377340260919,419
59.50136205566297,411
58.14161646136029,366
57.424467003895806,429
60.624870705653954,410
61.49154013208472,265
61.89726690377722,381
63.432986482831325,436
60.73730254174938,369
61.178561140459,389
58.7247343341985,411
59.21532672345148,426
,379
58.36793158764034,331
59.78220476637671,384
56.67775486949893,339
62.98870396377976,376
57.783017714293806,373
54.62264326464263,344
59.45219487182087,335
60.88209002680558,409
61.149200487566006,326
61.298692950290175,411
59.64836709343045,420
56.438209929924696,380
57.46491594499065,329
55.94978471410122,396
59.657902890514784,100
58.48660685741518,337
56.073693624654254,424
56.23285914598525,424
58.29961927592143,433
56.70054798113389,465
55.207592604404375,467
57.343583685651765,401
58.41955090989587,431
56.93189479894677,420
56.28952566166829,380
57.87119429403668,399
54.13018017506454,426
52.37386193500711,404
53.36056806473801,404
55.22192483948139,401
57.57287174917424,396
61.89686650939348,455
62.39559219192082,380
59.90194828166008,380
59.04012401227649,419
55.958232922417984,408
57.07863691236,460
56.91395091414101,385
58.48683036260618,404
56.17290957845132,410
58.656210614749405,433
62.63852203978142,392
60.20213085215643,464
60.36670900789501,368
61.23226404369768,468
58.72285546847754,417
59.16099324072756,362
58.81350811692605,399
58.873986869498765,346
56.55786881312933,360
57.55760723870484,376
59.34038704890561,430
62.80976110262064,425
63.2208825228573,391
66.65449464957157,438
60.49035877502836,345
61.839883196997846,354
60.65889042543248,334
65.49032496343696,453
59.81565445806314,486
56.89796021158237,394
56.09248562071906,318
51.5780728027784,387
53.64032816826463,403
54.045817185327806,404
56.70876314782576,445
58.56139316447192,418
63.63510650605402,340
63.676923551420174,374
59.57852419114124,354
