VibDisp_mm,RUL_seconds
0.5,350
0.5,385
0.5,417
0.5,367
0.5,300
0.5,389
0.5,388
0.5,299
0.5,403
0.5,336
0.5,369
0.5,335
0.5,430
0.5,404
0.5,382
0.4703137726701781,383
0.4703137726701781,345
0.4703137726701781,374
0.4703137726701781,369
0.4703137726701781,484
0.4703137726701781,338
0.4703137726701781,298
0.4703137726701781,327
0.4703137726701781,398
0.4703137726701781,348
0.4703137726701781,335
0.4703137726701781,320
0.4703137726701781,395
0.4703137726701781,367
0.4703137726701781,307
0.505131051586316,361
0.505131051586316,301
0.505131051586316,397
0.505131051586316,406
0.505131051586316,418
0.505131051586316,384
0.505131051586316,343
0.505131051586316,347
0.505131051586316,350
0.505131051586316,364
0.505131051586316,365
0.505131051586316,364
0.505131051586316,377
0.505131051586316,357
0.505131051586316,361
0.5385314455696844,279
0.5385314455696844,409
0.5385314455696844,449
0.5385314455696844,409
0.5385314455696844,405
0.5385314455696844,394
0.5385314455696844,425
0.5385314455696844,371
0.5385314455696844,404
0.5385314455696844,430
0.5385314455696844,412
0.5385314455696844,462
0.5385314455696844,366
0.5385314455696844,368
0.5385314455696844,331
0.507506609884622,378
0.507506609884622,354
0.507506609884622,321
0.507506609884622,413
0.507506609884622,293
0.507506609884622,418
0.507506609884622,311
0.507506609884622,371
0.507506609884622,350
0.507506609884622,394
0.507506609884622,341
0.507506609884622,362
0.507506609884622,362
0.507506609884622,391
0.507506609884622,328
0.5001171928800352,281
0.5001171928800352,346
0.5001171928800352,463
0.5001171928800352,409
0.5001171928800352,406
0.5001171928800352,454
0.5001171928800352,411
0.5001171928800352,447
0.5001171928800352,410
0.5001171928800352,396
0.5001171928800352,403
0.5001171928800352,342
0.5001171928800352,376
0.5001171928800352,362
0.5001171928800352,383
0.4565946207065494,380
0.4565946207065494,449
0.4565946207065494,407
0.4565946207065494,343
0.4565946207065494,386
0.4565946207065494,445
0.4565946207065494,353
0.4565946207065494,416
0.4565946207065494,346
0.4565946207065494,286
0.4565946207065494,372
0.4565946207065494,361
0.4565946207065494,433
0.4565946207065494,347
0.4565946207065494,342
0.475917167109473,442
0.475917167109473,336
0.475917167109473,398
0.475917167109473,307
0.475917167109473,382
0.475917167109473,324
0.475917167109473,343
0.475917167109473,411
0.475917167109473,394
0.475917167109473,365
0.475917167109473,398
0.475917167109473,378
0.475917167109473,326
0.475917167109473,455
0.475917167109473,361
0.5228088646402568,344
0.5228088646402568,336
0.5228088646402568,359
0.5228088646402568,386
0.5228088646402568,365
0.5228088646402568,291
0.5228088646402568,76
0.5228088646402568,371
0.5228088646402568,384
0.5228088646402568,364
0.5228088646402568,356
,338
0.5228088646402568,369
0.5228088646402568,362
0.5228088646402568,325
0.499795849627616,472
0.499795849627616,361
0.499795849627616,389
0.499795849627616,371
0.499795849627616,321
0.499795849627616,413
0.499795849627616,333
0.499795849627616,378
0.499795849627616,406
0.499795849627616,399
0.499795849627616,339
,384
0.499795849627616,389
0.499795849627616,354
0.499795849627616,318
0.4998373495672933,374
0.4998373495672933,386
0.4998373495672933,325
0.4998373495672933,362
0.4998373495672933,351
0.4998373495672933,349
0.4998373495672933,356
0.4998373495672933,330
0.4998373495672933,421
0.4998373495672933,322
0.4998373495672933,442
0.4998373495672933,347
0.4998373495672933,395
0.4998373495672933,423
0.4998373495672933,323
0.5291709724788681,445
0.5291709724788681,366
0.5291709724788681,443
0.5291709724788681,450
0.5291709724788681,375
0.5291709724788681,361
0.5291709724788681,368
0.5291709724788681,364
0.5291709724788681,349
0.5291709724788681,404
0.5291709724788681,396
0.5291709724788681,412
0.5291709724788681,378
0.5291709724788681,332
0.5291709724788681,389
0.585387246161179,335
0.585387246161179,319
0.585387246161179,432
0.585387246161179,339
0.585387246161179,386
0.585387246161179,351
0.585387246161179,373
0.585387246161179,92
0.585387246161179,361
0.585387246161179,369
