Voltage_V,RUL_seconds
230.0,350
230.0,385
,417
228.81519885328171,367
228.1428530987046,300
228.1428530987046,389
228.32084826478905,388
228.32084826478905,299
230.45322151494597,403
230.45322151494597,336
230.0603948300956,369
230.0603948300956,335
231.36911869081976,430
231.36911869081976,404
228.22495961153464,382
228.22495961153464,383
229.9872424231345,345
229.9872424231345,374
232.0409684181938,369
232.0409684181938,484
230.585241879674,338
230.585241879674,298
233.12651353975104,327
233.12651353975104,398
230.4127298368433,348
230.4127298368433,335
229.5882800728469,320
229.5882800728469,395
227.4466861266229,367
227.4466861266229,307
228.34451791695724,361
228.34451791695724,301
227.72892958369687,397
227.72892958369687,406
231.38156790545435,418
231.38156790545435,384
231.4769072269132,343
231.4769072269132,347
232.68455825009823,350
232.68455825009823,364
233.6365249852955,365
233.6365249852955,364
230.57044218446796,377
230.57044218446796,357
228.52980101882,361
228.52980101882,279
231.34505005778095,409
231.34505005778095,449
229.675726153072,409
229.675726153072,405
230.392726537599,394
230.392726537599,425
229.73884587206572,371
229.73884587206572,404
230.1012795335769,430
230.1012795335769,412
229.6468484305952,462
229.6468484305952,366
230.45771934104292,368
230.45771934104292,331
229.6792139775292,378
229.6792139775292,354
230.9948228363934,321
230.9948228363934,413
229.72113069521717,293
229.72113069521717,418
231.1126237752678,311
231.1126237752678,371
229.1139159277548,350
229.1139159277548,394
229.12547040105636,341
229.12547040105636,362
228.5297878872508,362
228.5297878872508,391
229.72927681691957,328
229.72927681691957,281
229.3297639893168,346
229.3297639893168,463
230.55152577354056,409
230.55152577354056,406
230.7540259321289,454
230.7540259321289,411
229.42332299206,447
229.42332299206,410
,396
229.19549355216265,403
229.6438740194924,342
229.6438740194924,376
229.5617574984289,362
229.5617574984289,383
230.0560064798993,380
230.0560064798993,449
230.7980765402884,407
230.7980765402884,343
230.6345441846027,386
230.6345441846027,445
231.6975386467514,353
231.6975386467514,416
230.1412113237822,346
230.1412113237822,286
232.00734913505283,372
232.00734913505283,361
230.0536358352048,433
230.0536358352048,347
232.04780350503611,342
232.04780350503611,442
232.1563089097397,336
232.1563089097397,398
233.13432661389007,307
233.13432661389007,382
233.47263989573784,324
233.47263989573784,343
233.9379023377257,411
233.9379023377257,394
230.57195792227853,365
230.57195792227853,398
229.0444602899392,378
229.0444602899392,326
228.8128894702621,455
228.8128894702621,361
231.16273324044607,344
231.16273324044607,336
234.04647182831783,359
234.04647182831783,386
231.5913479595292,365
231.5913479595292,291
229.8771519291712,76
229.8771519291712,371
229.01632061696847,384
229.01632061696847,364
229.71461891207215,356
229.71461891207215,338
230.495866064159,369
230.495866064159,362
230.2795574731237,325
230.2795574731237,472
229.6985679966558,361
229.6985679966558,389
230.78929576600908,371
230.78929576600908,321
231.32208212339316,413
231.32208212339316,333
229.85078343427884,378
229.85078343427884,406
229.23280132946155,399
229.23280132946155,339
230.8151579737696,384
230.8151579737696,389
232.52961516135628,354
232.52961516135628,318
231.35047806033796,374
231.35047806033796,386
231.77554788568733,325
231.77554788568733,362
231.92263007159096,351
231.92263007159096,349
230.3510684258096,356
230.3510684258096,330
229.27960977799927,421
229.27960977799927,322
229.7937702225817,442
229.7937702225817,347
229.54699614581395,395
229.54699614581395,423
230.95731781463425,323
230.95731781463425,445
228.94863065915985,366
228.94863065915985,443
229.3472430906989,450
229.3472430906989,375
230.94136606399329,361
230.94136606399329,368
230.604707440275,364
230.604707440275,349
230.4479778482742,404
230.4479778482742,396
230.4669571183053,412
230.4669571183053,378
230.29179354344527,332
230.29179354344527,389
230.2522267760054,335
230.2522267760054,319
230.62114728006688,432
230.62114728006688,339
230.6787018045423,386
230.6787018045423,351
229.6179790635728,373
229.6179790635728,92
231.6792069858971,361
231.6792069858971,369
231.27060180704777,312
231.27060180704777,371
231.55105091508412,306
231.55105091508412,353
229.90531287032329,400
229.90531287032329,373
228.0879366404142,429
228.0879366404142,308
229.11160113026156,417
229.11160113026156,357
230.6470397605728,413
230.6470397605728,368
228.6532740853981,384
228.6532740853981,315
228.6110519179477,409
228.6110519179477,386
229.04325451125123,430
229.04325451125123,349
231.24726839297708,422
231.24726839297708,304
233.60689316774017,334
233.60689316774017,405
231.63031656483372,472
231.63031656483372,423
232.3641249346217,394
232.3641249346217,378
232.060168805126,337
232.060168805126,310
230.3291937864517,364
230.3291937864517,354
231.76941566971945,310
231.76941566971945,368
232.0758284967494,411
232.0758284967494,350
231.6742570741524,373
231.6742570741524,353
230.96708215057583,366
230.96708215057583,406
,339
230.81031884634936,429
232.5123470359177,350
,423
232.9825313314044,385
232.9825313314044,355
234.12930544697963,436
234.12930544697963,435
232.9300994450965,306
232.9300994450965,386
233.76410574120368,342
233.76410574120368,420
231.1909567866265,362
231.1909567866265,346
232.2870179214568,324
232.2870179214568,357
234.2089197620615,400
234.2089197620615,466
233.03090955954625,428
233.03090955954625,357
231.8581749986725,415
231.8581749986725,349
232.256524372864,342
232.256524372864,349
231.91035133693268,412
231.91035133693268,375
230.6783278488774,473
230.6783278488774,378
229.31599946846453,344
229.31599946846453,412
231.9807103623664,458
231.9807103623664,469
229.86653806372507,408
229.86653806372507,400
230.39616671016665,423
230.39616671016665,328
231.2491249296568,407
231.2491249296568,350
,428
230.4431591946553,371
230.5984480375795,371
