Power_kW,RUL_seconds
50.0,350
51.56804402168663,385
46.9921956129863,417
49.23659086601523,367
47.230464344355816,300
48.69611389021325,389
50.56489605353959,388
54.15831061200176,299
54.10163837836722,403
50.73275864201956,336
54.816636586882666,369
51.20923637909815,335
55.06604220734881,430
53.25068298611961,404
53.2206912604554,382
54.60649203694032,383
51.31505928959932,345
48.37919173549822,374
48.58321646034754,369
46.84526596396328,484
43.27884443136252,338
49.169413736841314,298
53.41467750387945,327
53.50463821487395,398
50.244067355895645,348
48.79459199245031,335
53.48659350947494,320
56.21453802993428,395
53.40214940573368,367
56.731348510226496,307
52.41671606192596,361
51.289481227151214,301
48.323700673561305,397
44.65911831041377,406
46.29221767438453,418
46.49250603688094,384
48.225663908925945,343
52.75207335467151,347
51.54163797182241,350
53.04689700142803,364
50.86344505881592,365
52.549333306336095,364
54.819244360152695,377
53.56557709738729,357
57.29693287787019,361
56.67047414076583,279
53.36508669553972,409
53.42516072428931,449
45.1203121153809,409
45.79351838421662,405
53.38628636654999,394
55.47246693661963,425
58.17614367267711,371
56.86706927977352,404
53.42087712253636,430
52.55322933660904,412
51.87657074469109,462
50.24801433516365,366
52.51748563153616,368
50.4429083450867,331
50.990326674696846,378
52.74382111219767,354
49.0668490159568,321
47.35537990192857,413
52.051453442343295,293
47.97756821703384,418
47.63925053815225,311
51.37821156523507,371
50.6965136534181,350
49.04200880853333,394
44.8566254428124,341
51.24262250150117,362
50.631927019289634,362
50.62333050784271,391
51.72172813970112,328
55.69282472700954,281
53.79740006833833,346
51.237005108542775,463
51.91905879106696,409
55.23426129752893,406
49.88866437319161,454
49.76104695438725,411
46.24133551542566,447
48.76848045746736,410
54.77034532611633,396
50.4890779793572,403
50.741745597806414,342
52.35848440631359,376
52.86417431558656,362
55.74679536389978,383
51.9948149786384,380
49.54352243098868,449
48.0287832567757,407
50.01347234539202,343
49.46438921549967,386
49.61748471225079,445
47.59648253239582,353
56.66435653140525,416
54.206087002162064,346
51.99144431129295,286
59.47632836942776,372
56.56163652715378,361
52.28871806245793,433
53.29743454617245,347
55.417864390898266,342
53.846197004951954,442
49.343969194138616,336
47.26953769577794,398
46.499220943622085,307
53.44610921075634,382
56.45213079081915,324
50.08088894228428,343
45.0898586958635,411
44.66728594869559,394
,365
48.6753528803176,398
48.3512659559897,378
48.2775525920954,326
52.83232060482418,455
50.81274368123603,361
48.290952269727,344
51.25173934986268,336
50.882127163238295,359
48.22230268554779,386
54.87641007363234,365
56.36156210373122,291
56.86336298751638,76
52.02850044924114,371
49.13898099575291,384
48.79805503784011,364
51.44388844362378,356
50.07330337558976,338
51.4887857022224,369
49.49595422196186,362
53.98522733174005,325
53.337933870404775,472
