BearingTemp_C,RUL_seconds
70.0,350
70.0,385
70.0,417
70.0,367
70.0,300
70.0,389
70.0,388
70.0,299
70.0,403
70.0,336
65.22145228747598,369
65.22145228747598,335
65.22145228747598,430
65.22145228747598,404
65.22145228747598,382
65.22145228747598,383
65.22145228747598,345
65.22145228747598,374
65.22145228747598,369
65.22145228747598,484
67.44433742974974,338
67.44433742974974,298
67.44433742974974,327
67.44433742974974,398
67.44433742974974,348
67.44433742974974,335
67.44433742974974,320
67.44433742974974,395
67.44433742974974,367
67.44433742974974,307
63.478067908202135,361
63.478067908202135,301
63.478067908202135,397
63.478067908202135,406
63.478067908202135,418
63.478067908202135,384
63.478067908202135,343
63.478067908202135,347
63.478067908202135,350
63.478067908202135,364
67.75856664118618,365
67.75856664118618,364
67.75856664118618,377
67.75856664118618,357
67.75856664118618,361
67.75856664118618,279
67.75856664118618,409
67.75856664118618,449
67.75856664118618,409
67.75856664118618,405
69.93699779033837,394
69.93699779033837,425
69.93699779033837,371
69.93699779033837,404
69.93699779033837,430
69.93699779033837,412
69.93699779033837,462
69.93699779033837,366
69.93699779033837,368
69.93699779033837,331
69.14936536404457,378
69.14936536404457,354
69.14936536404457,321
69.14936536404457,413
69.14936536404457,293
69.14936536404457,418
69.14936536404457,311
69.14936536404457,371
69.14936536404457,350
69.14936536404457,394
69.93818912562217,341
69.93818912562217,362
69.93818912562217,362
69.93818912562217,391
69.93818912562217,328
69.93818912562217,281
69.93818912562217,346
69.93818912562217,463
69.93818912562217,409
69.93818912562217,406
71.4105451035718,454
71.4105451035718,411
71.4105451035718,447
71.4105451035718,410
71.4105451035718,396
71.4105451035718,403
71.4105451035718,342
71.4105451035718,376
71.4105451035718,362
71.4105451035718,383
73.86079913739871,380
73.86079913739871,449
73.86079913739871,407
73.86079913739871,343
73.86079913739871,386
73.86079913739871,445
73.86079913739871,353
73.86079913739871,416
73.86079913739871,346
73.86079913739871,286
71.35608712419513,372
,361
71.35608712419513,433
71.35608712419513,347
71.35608712419513,342
71.35608712419513,442
71.35608712419513,336
71.35608712419513,398
71.35608712419513,307
71.35608712419513,382
76.20251617680151,324
76.20251617680151,343
76.20251617680151,411
76.20251617680151,394
76.20251617680151,365
76.20251617680151,398
76.20251617680151,378
76.20251617680151,326
76.20251617680151,455
76.20251617680151,361
70.13548338818913,344
70.13548338818913,336
70.13548338818913,359
70.13548338818913,386
70.13548338818913,365
70.13548338818913,291
70.13548338818913,76
70.13548338818913,371
70.13548338818913,384
70.13548338818913,364
75.71436181367983,356
75.71436181367983,338
75.71436181367983,369
75.71436181367983,362
75.71436181367983,325
75.71436181367983,472
75.71436181367983,361
75.71436181367983,389
75.71436181367983,371
75.71436181367983,321
67.54024180600152,413
67.54024180600152,333
67.54024180600152,378
67.54024180600152,406
67.54024180600152,399
67.54024180600152,339
67.54024180600152,384
67.54024180600152,389
67.54024180600152,354
67.54024180600152,318
68.07588542114675,374
68.07588542114675,386
68.07588542114675,325
68.07588542114675,362
68.07588542114675,351
68.07588542114675,349
68.07588542114675,356
68.07588542114675,330
68.07588542114675,421
68.07588542114675,322
73.92968225871284,442
73.92968225871284,347
73.92968225871284,395
73.92968225871284,423
73.92968225871284,323
73.92968225871284,445
73.92968225871284,366
73.92968225871284,443
73.92968225871284,450
73.92968225871284,375
73.57060621113617,361
73.57060621113617,368
73.57060621113617,364
73.57060621113617,349
73.57060621113617,404
73.57060621113617,396
73.57060621113617,412
73.57060621113617,378
73.57060621113617,332
73.57060621113617,389
74.76948591919644,335
74.76948591919644,319
74.76948591919644,432
74.76948591919644,339
74.76948591919644,386
74.76948591919644,351
74.76948591919644,373
74.76948591919644,92
74.76948591919644,361
74.76948591919644,369
75.97283238761523,312
75.97283238761523,371
75.97283238761523,306
75.97283238761523,353
75.97283238761523,400
75.97283238761523,373
75.97283238761523,429
75.97283238761523,308
75.97283238761523,417
75.97283238761523,357
76.12178284835693,413
76.12178284835693,368
76.12178284835693,384
76.12178284835693,315
76.12178284835693,409
76.12178284835693,386
76.12178284835693,430
76.12178284835693,349
76.12178284835693,422
76.12178284835693,304
69.92899770309656,334
69.92899770309656,405
69.92899770309656,472
69.92899770309656,423
,394
69.92899770309656,378
69.92899770309656,337
69.92899770309656,310
69.92899770309656,364
69.92899770309656,354
68.04419792770867,310
68.04419792770867,368
68.04419792770867,411
68.04419792770867,350
68.04419792770867,373
68.04419792770867,353
68.04419792770867,366
68.04419792770867,406
68.04419792770867,339
68.04419792770867,429
69.61935140090655,350
69.61935140090655,423
69.61935140090655,385
69.61935140090655,355
69.61935140090655,436
69.61935140090655,435
69.61935140090655,306
69.61935140090655,386
69.61935140090655,342
69.61935140090655,420
71.82478843719367,362
71.82478843719367,346
71.82478843719367,324
71.82478843719367,357
71.82478843719367,400
71.82478843719367,466
71.82478843719367,428
71.82478843719367,357
71.82478843719367,415
71.82478843719367,349
73.00019898436251,342
73.00019898436251,349
73.00019898436251,412
73.00019898436251,375
73.00019898436251,473
73.00019898436251,378
73.00019898436251,344
73.00019898436251,412
73.00019898436251,458
73.00019898436251,469
72.1793853628388,408
72.1793853628388,400
72.1793853628388,423
72.1793853628388,328
72.1793853628388,407
72.1793853628388,350
72.1793853628388,428
72.1793853628388,371
72.1793853628388,371
72.1793853628388,348
71.27274106700278,328
71.27274106700278,410
71.27274106700278,393
71.27274106700278,392
71.27274106700278,336
71.27274106700278,410
71.27274106700278,285
71.27274106700278,352
71.27274106700278,339
71.27274106700278,357
76.32128144064306,333
76.32128144064306,398
76.32128144064306,399
76.32128144064306,372
76.32128144064306,418
76.32128144064306,321
76.32128144064306,384
76.32128144064306,358
76.32128144064306,429
76.32128144064306,367
75.19594381247327,441
75.19594381247327,396
75.19594381247327,332
75.19594381247327,384
75.19594381247327,421
75.19594381247327,345
75.19594381247327,443
75.19594381247327,386
75.19594381247327,339
75.19594381247327,366
75.35615921372094,369
75.35615921372094,371
75.35615921372094,411
75.35615921372094,422
75.35615921372094,463
75.35615921372094,325
75.35615921372094,295
75.35615921372094,398
75.35615921372094,419
75.35615921372094,411
73.51408450344726,366
73.51408450344726,429
73.51408450344726,410
73.51408450344726,265
73.51408450344726,381
73.51408450344726,436
73.51408450344726,369
73.51408450344726,389
73.51408450344726,411
73.51408450344726,426
71.7490695742464,379
71.7490695742464,331
71.7490695742464,384
71.7490695742464,339
71.7490695742464,376
71.7490695742464,373
71.7490695742464,344
71.7490695742464,335
71.7490695742464,409
71.7490695742464,326
73.63228771261383,411
73.63228771261383,420
73.63228771261383,380
73.63228771261383,329
73.63228771261383,396
73.63228771261383,100
73.63228771261383,337
73.63228771261383,424
73.63228771261383,424
73.63228771261383,433
76.47098669250249,465
76.47098669250249,467
76.47098669250249,401
76.47098669250249,431
76.47098669250249,420
76.47098669250249,380
76.47098669250249,399
76.47098669250249,426
76.47098669250249,404
76.47098669250249,404
78.5153117774004,401
78.5153117774004,396
78.5153117774004,455
78.5153117774004,380
78.5153117774004,380
78.5153117774004,419
78.5153117774004,408
78.5153117774004,460
78.5153117774004,385
78.5153117774004,404
77.3087277516124,410
77.3087277516124,433
77.3087277516124,392
77.3087277516124,464
77.3087277516124,368
77.3087277516124,468
77.3087277516124,417
77.3087277516124,362
77.3087277516124,399
77.3087277516124,346
71.32355901013119,360
71.32355901013119,376
,430
71.32355901013119,425
71.32355901013119,391
71.32355901013119,438
71.32355901013119,345
71.32355901013119,354
71.32355901013119,334
71.32355901013119,453
74.82776210935917,486
74.82776210935917,394
74.82776210935917,318
74.82776210935917,387
74.82776210935917,403
74.82776210935917,404
74.82776210935917,445
74.82776210935917,418
74.82776210935917,340
74.82776210935917,374
69.52485241495643,354
69.52485241495643,356
69.52485241495643,315
69.52485241495643,326
69.52485241495643,397
69.52485241495643,399
69.52485241495643,378
69.52485241495643,402
69.52485241495643,365
69.52485241495643,325
68.15176278925634,430
68.15176278925634,376
68.15176278925634,380
68.15176278925634,459
68.15176278925634,388
68.15176278925634,393
68.15176278925634,449
68.15176278925634,365
68.15176278925634,322
68.15176278925634,358
69.06069681632326,372
69.06069681632326,386
69.06069681632326,349
69.06069681632326,363
69.06069681632326,343
69.06069681632326,369
69.06069681632326,332
69.06069681632326,336
69.06069681632326,446
69.06069681632326,321
69.07742960283284,341
69.07742960283284,463
69.07742960283284,482
69.07742960283284,450
69.07742960283284,446
69.07742960283284,352
69.07742960283284,434
69.07742960283284,429
69.07742960283284,363
69.07742960283284,366
74.23494885068553,403
