Humidity_pct,RUL_seconds
60.0,350
60.0,385
60.0,417
60.0,367
60.0,300
57.53343926547765,389
57.53343926547765,388
57.53343926547765,299
57.53343926547765,403
57.53343926547765,336
56.85219701715255,369
56.85219701715255,335
56.85219701715255,430
56.85219701715255,404
56.85219701715255,382
60.09648878825782,383
60.09648878825782,345
60.09648878825782,374
60.09648878825782,369
60.09648878825782,484
64.51509720683889,338
64.51509720683889,298
64.51509720683889,327
64.51509720683889,398
64.51509720683889,348
58.90880353199816,335
58.90880353199816,320
58.90880353199816,395
58.90880353199816,367
58.90880353199816,307
60.14510132500634,361
60.14510132500634,301
,397
60.14510132500634,406
60.14510132500634,418
61.03570062487534,384
61.03570062487534,343
61.03570062487534,347
61.03570062487534,350
61.03570062487534,364
61.2393279241053,365
61.2393279241053,364
61.2393279241053,377
61.2393279241053,357
61.2393279241053,361
60.78090541464371,279
60.78090541464371,409
60.78090541464371,449
60.78090541464371,409
60.78090541464371,405
64.92324686303554,394
64.92324686303554,425
64.92324686303554,371
64.92324686303554,404
64.92324686303554,430
65.96650156519054,412
65.96650156519054,462
65.96650156519054,366
65.96650156519054,368
65.96650156519054,331
62.59652403177572,378
62.59652403177572,354
62.59652403177572,321
62.59652403177572,413
62.59652403177572,293
60.48303681669536,418
60.48303681669536,311
60.48303681669536,371
60.48303681669536,350
60.48303681669536,394
61.88665140812098,341
61.88665140812098,362
61.88665140812098,362
61.88665140812098,391
61.88665140812098,328
58.81766773937101,281
58.81766773937101,346
58.81766773937101,463
58.81766773937101,409
58.81766773937101,406
57.01381204280786,454
57.01381204280786,411
57.01381204280786,447
57.01381204280786,410
57.01381204280786,396
61.38274727751576,403
61.38274727751576,342
61.38274727751576,376
61.38274727751576,362
61.38274727751576,383
63.515831351663934,380
63.515831351663934,449
63.515831351663934,407
63.515831351663934,343
63.515831351663934,386
62.46945378995285,445
62.46945378995285,353
62.46945378995285,416
62.46945378995285,346
62.46945378995285,286
63.04595044127283,372
63.04595044127283,361
63.04595044127283,433
63.04595044127283,347
63.04595044127283,342
59.504208195024056,442
59.504208195024056,336
59.504208195024056,398
59.504208195024056,307
59.504208195024056,382
55.74363429823752,324
55.74363429823752,343
55.74363429823752,411
55.74363429823752,394
55.74363429823752,365
57.76344961493319,398
57.76344961493319,378
57.76344961493319,326
57.76344961493319,455
57.76344961493319,361
60.24834365096897,344
60.24834365096897,336
60.24834365096897,359
60.24834365096897,386
60.24834365096897,365
59.47662876023624,291
59.47662876023624,76
59.47662876023624,371
59.47662876023624,384
59.47662876023624,364
59.71284416768688,356
59.71284416768688,338
59.71284416768688,369
59.71284416768688,362
59.71284416768688,325
61.20395273495347,472
61.20395273495347,361
61.20395273495347,389
61.20395273495347,371
61.20395273495347,321
60.63527843849181,413
60.63527843849181,333
60.63527843849181,378
60.63527843849181,406
60.63527843849181,399
61.84827531808147,339
61.84827531808147,384
61.84827531808147,389
61.84827531808147,354
61.84827531808147,318
63.94261410977777,374
63.94261410977777,386
63.94261410977777,325
63.94261410977777,362
63.94261410977777,351
60.05253181741293,349
60.05253181741293,356
60.05253181741293,330
60.05253181741293,421
60.05253181741293,322
64.52531358220097,442
64.52531358220097,347
64.52531358220097,395
64.52531358220097,423
64.52531358220097,323
58.50003222947385,445
58.50003222947385,366
58.50003222947385,443
58.50003222947385,450
58.50003222947385,375
62.86036291265397,361
62.86036291265397,368
62.86036291265397,364
62.86036291265397,349
62.86036291265397,404
56.73171200585889,396
56.73171200585889,412
56.73171200585889,378
56.73171200585889,332
56.73171200585889,389
58.28804934253732,335
58.28804934253732,319
58.28804934253732,432
58.28804934253732,339
58.28804934253732,386
62.95492981241602,351
62.95492981241602,373
62.95492981241602,92
62.95492981241602,361
62.95492981241602,369
62.61100235195172,312
62.61100235195172,371
62.61100235195172,306
62.61100235195172,353
62.61100235195172,400
61.73981876184901,373
61.73981876184901,429
61.73981876184901,308
61.73981876184901,417
61.73981876184901,357
61.6674761362969,413
61.6674761362969,368
61.6674761362969,384
61.6674761362969,315
61.6674761362969,409
