FlowRate_L_min,RUL_seconds
25.0,350
25.0,385
25.0,417
25.0,367
25.0,300
25.0,389
25.0,388
25.0,299
25.0,403
25.0,336
25.0,369
25.0,335
25.0,430
25.0,404
25.0,382
25.955404175926887,383
25.955404175926887,345
25.955404175926887,374
,369
25.955404175926887,484
25.955404175926887,338
25.955404175926887,298
25.955404175926887,327
25.955404175926887,398
25.955404175926887,348
25.955404175926887,335
25.955404175926887,320
25.955404175926887,395
25.955404175926887,367
25.955404175926887,307
27.441622254487623,361
27.441622254487623,301
27.441622254487623,397
27.441622254487623,406
27.441622254487623,418
27.441622254487623,384
27.441622254487623,343
27.441622254487623,347
,350
27.441622254487623,364
27.441622254487623,365
27.441622254487623,364
27.441622254487623,377
27.441622254487623,357
27.441622254487623,361
27.609810617535864,279
27.609810617535864,409
27.609810617535864,449
27.609810617535864,409
27.609810617535864,405
27.609810617535864,394
27.609810617535864,425
27.609810617535864,371
27.609810617535864,404
27.609810617535864,430
27.609810617535864,412
27.609810617535864,462
27.609810617535864,366
27.609810617535864,368
27.609810617535864,331
25.30121627312148,378
25.30121627312148,354
,321
25.30121627312148,413
25.30121627312148,293
25.30121627312148,418
25.30121627312148,311
25.30121627312148,371
25.30121627312148,350
25.30121627312148,394
25.30121627312148,341
25.30121627312148,362
25.30121627312148,362
25.30121627312148,391
25.30121627312148,328
26.002823226621768,281
26.002823226621768,346
26.002823226621768,463
26.002823226621768,409
26.002823226621768,406
26.002823226621768,454
26.002823226621768,411
26.002823226621768,447
26.002823226621768,410
26.002823226621768,396
26.002823226621768,403
26.002823226621768,342
26.002823226621768,376
26.002823226621768,362
26.002823226621768,383
25.510266493330978,380
25.510266493330978,449
25.510266493330978,407
25.510266493330978,343
25.510266493330978,386
25.510266493330978,445
25.510266493330978,353
25.510266493330978,416
25.510266493330978,346
25.510266493330978,286
25.510266493330978,372
25.510266493330978,361
25.510266493330978,433
25.510266493330978,347
25.510266493330978,342
25.457387940323624,442
25.457387940323624,336
25.457387940323624,398
25.457387940323624,307
25.457387940323624,382
25.457387940323624,324
25.457387940323624,343
25.457387940323624,411
25.457387940323624,394
25.457387940323624,365
25.457387940323624,398
25.457387940323624,378
25.457387940323624,326
25.457387940323624,455
25.457387940323624,361
24.73109365235452,344
24.73109365235452,336
24.73109365235452,359
24.73109365235452,386
24.73109365235452,365
24.73109365235452,291
24.73109365235452,76
24.73109365235452,371
24.73109365235452,384
24.73109365235452,364
24.73109365235452,356
24.73109365235452,338
24.73109365235452,369
24.73109365235452,362
24.73109365235452,325
25.11509410418652,472
25.11509410418652,361
25.11509410418652,389
25.11509410418652,371
25.11509410418652,321
25.11509410418652,413
25.11509410418652,333
25.11509410418652,378
25.11509410418652,406
25.11509410418652,399
25.11509410418652,339
25.11509410418652,384
25.11509410418652,389
25.11509410418652,354
25.11509410418652,318
26.77204444361409,374
26.77204444361409,386
26.77204444361409,325
26.77204444361409,362
26.77204444361409,351
26.77204444361409,349
26.77204444361409,356
26.77204444361409,330
26.77204444361409,421
26.77204444361409,322
26.77204444361409,442
26.77204444361409,347
26.77204444361409,395
26.77204444361409,423
26.77204444361409,323
25.0599839306186,445
25.0599839306186,366
25.0599839306186,443
25.0599839306186,450
25.0599839306186,375
25.0599839306186,361
25.0599839306186,368
25.0599839306186,364
25.0599839306186,349
25.0599839306186,404
25.0599839306186,396
25.0599839306186,412
25.0599839306186,378
25.0599839306186,332
25.0599839306186,389
25.560706873579917,335
25.560706873579917,319
25.560706873579917,432
25.560706873579917,339
25.560706873579917,386
25.560706873579917,351
25.560706873579917,373
25.560706873579917,92
25.560706873579917,361
25.560706873579917,369
25.560706873579917,312
25.560706873579917,371
25.560706873579917,306
25.560706873579917,353
25.560706873579917,400
28.172651210855136,373
28.172651210855136,429
28.172651210855136,308
28.172651210855136,417
28.172651210855136,357
28.172651210855136,413
28.172651210855136,368
28.172651210855136,384
28.172651210855136,315
28.172651210855136,409
28.172651210855136,386
28.172651210855136,430
28.172651210855136,349
28.172651210855136,422
28.172651210855136,304
26.465851291382585,334
26.465851291382585,405
26.465851291382585,472
26.465851291382585,423
26.465851291382585,394
26.465851291382585,378
26.465851291382585,337
26.465851291382585,310
26.465851291382585,364
26.465851291382585,354
26.465851291382585,310
26.465851291382585,368
,411
26.465851291382585,350
26.465851291382585,373
25.76618731198521,353
25.76618731198521,366
25.76618731198521,406
25.76618731198521,339
25.76618731198521,429
25.76618731198521,350
25.76618731198521,423
25.76618731198521,385
25.76618731198521,355
25.76618731198521,436
25.76618731198521,435
25.76618731198521,306
25.76618731198521,386
25.76618731198521,342
25.76618731198521,420
27.268241721380008,362
27.268241721380008,346
27.268241721380008,324
27.268241721380008,357
27.268241721380008,400
27.268241721380008,466
27.268241721380008,428
27.268241721380008,357
27.268241721380008,415
27.268241721380008,349
27.268241721380008,342
27.268241721380008,349
27.268241721380008,412
27.268241721380008,375
27.268241721380008,473
26.947189552255026,378
26.947189552255026,344
26.947189552255026,412
26.947189552255026,458
26.947189552255026,469
26.947189552255026,408
26.947189552255026,400
26.947189552255026,423
26.947189552255026,328
26.947189552255026,407
26.947189552255026,350
26.947189552255026,428
26.947189552255026,371
26.947189552255026,371
26.947189552255026,348
26.56023799009221,328
26.56023799009221,410
26.56023799009221,393
26.56023799009221,392
26.56023799009221,336
26.56023799009221,410
26.56023799009221,285
26.56023799009221,352
26.56023799009221,339
26.56023799009221,357
26.56023799009221,333
26.56023799009221,398
26.56023799009221,399
26.56023799009221,372
26.56023799009221,418
28.99072917638241,321
28.99072917638241,384
28.99072917638241,358
28.99072917638241,429
28.99072917638241,367
28.99072917638241,441
28.99072917638241,396
28.99072917638241,332
28.99072917638241,384
28.99072917638241,421
28.99072917638241,345
28.99072917638241,443
28.99072917638241,386
28.99072917638241,339
28.99072917638241,366
25.80362832070779,369
25.80362832070779,371
25.80362832070779,411
25.80362832070779,422
25.80362832070779,463
25.80362832070779,325
25.80362832070779,295
25.80362832070779,398
25.80362832070779,419
25.80362832070779,411
25.80362832070779,366
25.80362832070779,429
25.80362832070779,410
25.80362832070779,265
25.80362832070779,381
26.050199350724977,436
26.050199350724977,369
26.050199350724977,389
26.050199350724977,411
26.050199350724977,426
26.050199350724977,379
26.050199350724977,331
26.050199350724977,384
26.050199350724977,339
26.050199350724977,376
26.050199350724977,373
26.050199350724977,344
26.050199350724977,335
26.050199350724977,409
26.050199350724977,326
25.6965808560687,411
25.6965808560687,420
25.6965808560687,380
25.6965808560687,329
25.6965808560687,396
25.6965808560687,100
25.6965808560687,337
25.6965808560687,424
25.6965808560687,424
25.6965808560687,433
25.6965808560687,465
25.6965808560687,467
25.6965808560687,401
25.6965808560687,431
25.6965808560687,420
23.88262558731761,380
23.88262558731761,399
23.88262558731761,426
23.88262558731761,404
23.88262558731761,404
23.88262558731761,401
23.88262558731761,396
23.88262558731761,455
23.88262558731761,380
23.88262558731761,380
23.88262558731761,419
,408
23.88262558731761,460
23.88262558731761,385
23.88262558731761,404
24.102369516661405,410
24.102369516661405,433
24.102369516661405,392
24.102369516661405,464
24.102369516661405,368
24.102369516661405,468
24.102369516661405,417
24.102369516661405,362
24.102369516661405,399
24.102369516661405,346
24.102369516661405,360
24.102369516661405,376
24.102369516661405,430
24.102369516661405,425
24.102369516661405,391
25.504182325933467,438
25.504182325933467,345
25.504182325933467,354
25.504182325933467,334
25.504182325933467,453
25.504182325933467,486
25.504182325933467,394
25.504182325933467,318
25.504182325933467,387
25.504182325933467,403
25.504182325933467,404
25.504182325933467,445
25.504182325933467,418
25.504182325933467,340
25.504182325933467,374
24.00049566891358,354
24.00049566891358,356
24.00049566891358,315
24.00049566891358,326
24.00049566891358,397
24.00049566891358,399
24.00049566891358,378
24.00049566891358,402
24.00049566891358,365
24.00049566891358,325
24.00049566891358,430
24.00049566891358,376
24.00049566891358,380
24.00049566891358,459
24.00049566891358,388
25.390251883360904,393
25.390251883360904,449
25.390251883360904,365
25.390251883360904,322
25.390251883360904,358
25.390251883360904,372
25.390251883360904,386
25.390251883360904,349
25.390251883360904,363
25.390251883360904,343
25.390251883360904,369
25.390251883360904,332
25.390251883360904,336
25.390251883360904,446
25.390251883360904,321
25.916327880358526,341
25.916327880358526,463
25.916327880358526,482
25.916327880358526,450
25.916327880358526,446
25.916327880358526,352
25.916327880358526,434
25.916327880358526,429
25.916327880358526,363
25.916327880358526,366
25.916327880358526,403
25.916327880358526,395
25.916327880358526,378
25.916327880358526,384
25.916327880358526,282
28.102411796517423,369
28.102411796517423,437
28.102411796517423,78
28.102411796517423,328
28.102411796517423,403
28.102411796517423,376
,356
28.102411796517423,388
28.102411796517423,444
28.102411796517423,443
28.102411796517423,378
28.102411796517423,396
28.102411796517423,336
28.102411796517423,404
28.102411796517423,379
,366
28.215703895651703,289
28.215703895651703,399
28.215703895651703,347
28.215703895651703,393
28.215703895651703,383
28.215703895651703,350
28.215703895651703,379
28.215703895651703,405
28.215703895651703,420
28.215703895651703,376
28.215703895651703,358
28.215703895651703,335
28.215703895651703,417
28.215703895651703,355
27.77546846156291,409
27.77546846156291,367
27.77546846156291,374
27.77546846156291,466
27.77546846156291,515
27.77546846156291,382
27.77546846156291,413
27.77546846156291,355
27.77546846156291,334
27.77546846156291,419
27.77546846156291,360
27.77546846156291,390
27.77546846156291,392
27.77546846156291,444
27.77546846156291,500
27.54712669001969,378
27.54712669001969,384
27.54712669001969,405
27.54712669001969,398
27.54712669001969,346
27.54712669001969,364
27.54712669001969,398
27.54712669001969,372
27.54712669001969,365
27.54712669001969,328
27.54712669001969,417
27.54712669001969,456
27.54712669001969,373
27.54712669001969,461
27.54712669001969,346
26.90837508130667,419
26.90837508130667,483
26.90837508130667,396
26.90837508130667,400
26.90837508130667,352
26.90837508130667,369
,391
26.90837508130667,380
26.90837508130667,400
26.90837508130667,371
26.90837508130667,398
26.90837508130667,434
26.90837508130667,453
26.90837508130667,382
26.90837508130667,399
26.569853528459397,371
26.569853528459397,312
26.569853528459397,373
26.569853528459397,377
26.569853528459397,379
26.569853528459397,416
26.569853528459397,358
26.569853528459397,372
26.569853528459397,408
26.569853528459397,324
26.569853528459397,464
26.569853528459397,423
26.569853528459397,337
26.569853528459397,362
26.569853528459397,452
27.23304082899868,471
27.23304082899868,301
27.23304082899868,381
27.23304082899868,390
27.23304082899868,347
27.23304082899868,356
27.23304082899868,372
27.23304082899868,387
27.23304082899868,441
27.23304082899868,472
27.23304082899868,460
27.23304082899868,336
27.23304082899868,328
27.23304082899868,368
27.23304082899868,335
26.06106495638398,391
26.06106495638398,382
26.06106495638398,266
26.06106495638398,401
26.06106495638398,347
26.06106495638398,405
26.06106495638398,326
26.06106495638398,321
26.06106495638398,479
26.06106495638398,426
26.06106495638398,437
26.06106495638398,440
26.06106495638398,374
26.06106495638398,414
26.06106495638398,450
24.823585164643447,464
24.823585164643447,404
24.823585164643447,370
24.823585164643447,421
24.823585164643447,423
24.823585164643447,430
24.823585164643447,394
24.823585164643447,430
24.823585164643447,433
24.823585164643447,456
24.823585164643447,451
24.823585164643447,295
24.823585164643447,439
24.823585164643447,426
24.823585164643447,400
25.851829254834904,433
25.851829254834904,421
25.851829254834904,314
25.851829254834904,349
25.851829254834904,373
25.851829254834904,413
25.851829254834904,451
25.851829254834904,376
25.851829254834904,441
25.851829254834904,415
25.851829254834904,389
25.851829254834904,302
25.851829254834904,412
25.851829254834904,324
25.851829254834904,372
27.62149618644582,347
27.62149618644582,384
27.62149618644582,416
27.62149618644582,440
27.62149618644582,375
27.62149618644582,325
27.62149618644582,366
27.62149618644582,455
27.62149618644582,400
27.62149618644582,445
27.62149618644582,350
27.62149618644582,326
27.62149618644582,433
27.62149618644582,397
27.62149618644582,428
26.65203425646135,402
26.65203425646135,438
26.65203425646135,376
26.65203425646135,452
26.65203425646135,399
26.65203425646135,444
26.65203425646135,428
26.65203425646135,401
26.65203425646135,449
26.65203425646135,415
26.65203425646135,436
26.65203425646135,392
26.65203425646135,392
26.65203425646135,390
26.65203425646135,455
23.3694599763285,406
23.3694599763285,401
23.3694599763285,483
23.3694599763285,366
23.3694599763285,381
23.3694599763285,383
23.3694599763285,442
23.3694599763285,457
23.3694599763285,390
23.3694599763285,475
23.3694599763285,460
23.3694599763285,363
23.3694599763285,302
23.3694599763285,378
23.3694599763285,427
26.55614569337251,367
26.55614569337251,368
26.55614569337251,400
26.55614569337251,395
26.55614569337251,499
26.55614569337251,420
26.55614569337251,406
26.55614569337251,368
26.55614569337251,471
26.55614569337251,349
26.55614569337251,357
26.55614569337251,452
