Torque_Nm,RUL_seconds
100.0,350
100.0,385
100.0,417
100.0,367
100.0,300
88.98267553997857,389
88.98267553997857,388
88.98267553997857,299
88.98267553997857,403
88.98267553997857,336
88.14925249108221,369
88.14925249108221,335
88.14925249108221,430
88.14925249108221,404
88.14925249108221,382
94.7378845201746,383
94.7378845201746,345
94.7378845201746,374
94.7378845201746,369
94.7378845201746,484
89.48396800310843,338
89.48396800310843,298
89.48396800310843,327
89.48396800310843,398
89.48396800310843,348
98.78667466967713,335
98.78667466967713,320
98.78667466967713,395
98.78667466967713,367
98.78667466967713,307
104.12941914643014,361
104.12941914643014,301
104.12941914643014,397
104.12941914643014,406
104.12941914643014,418
93.6225466409046,384
93.6225466409046,343
93.6225466409046,347
93.6225466409046,350
93.6225466409046,364
87.19041094779499,365
87.19041094779499,364
87.19041094779499,377
87.19041094779499,357
87.19041094779499,361
97.57296630288012,279
97.57296630288012,409
97.57296630288012,449
97.57296630288012,409
97.57296630288012,405
95.24924601349196,394
95.24924601349196,425
95.24924601349196,371
95.24924601349196,404
95.24924601349196,430
102.265409802691,412
102.265409802691,462
102.265409802691,366
102.265409802691,368
102.265409802691,331
102.8692556285642,378
102.8692556285642,354
102.8692556285642,321
102.8692556285642,413
102.8692556285642,293
95.16490440995436,418
95.16490440995436,311
95.16490440995436,371
95.16490440995436,350
95.16490440995436,394
93.3843312573126,341
93.3843312573126,362
93.3843312573126,362
93.3843312573126,391
93.3843312573126,328
92.03844711447418,281
92.03844711447418,346
92.03844711447418,463
92.03844711447418,409
92.03844711447418,406
93.65906319072585,454
93.65906319072585,411
93.65906319072585,447
93.65906319072585,410
93.65906319072585,396
95.448029045766,403
95.448029045766,342
95.448029045766,376
95.448029045766,362
95.448029045766,383
96.46752985128089,380
96.46752985128089,449
96.46752985128089,407
96.46752985128089,343
96.46752985128089,386
94.50706473908768,445
94.50706473908768,353
94.50706473908768,416
94.50706473908768,346
94.50706473908768,286
113.31068903118644,372
113.31068903118644,361
113.31068903118644,433
113.31068903118644,347
113.31068903118644,342
98.32813532005102,442
98.32813532005102,336
98.32813532005102,398
98.32813532005102,307
98.32813532005102,382
98.87596835886968,324
98.87596835886968,343
98.87596835886968,411
98.87596835886968,394
98.87596835886968,365
100.02148686638446,398
100.02148686638446,378
100.02148686638446,326
100.02148686638446,455
100.02148686638446,361
108.13834485229263,344
108.13834485229263,336
108.13834485229263,359
108.13834485229263,386
108.13834485229263,365
109.06182364446911,291
109.06182364446911,76
,371
109.06182364446911,384
109.06182364446911,364
100.45577918249562,356
100.45577918249562,338
100.45577918249562,369
100.45577918249562,362
100.45577918249562,325
100.83247841034628,472
100.83247841034628,361
100.83247841034628,389
100.83247841034628,371
100.83247841034628,321
109.8518521382874,413
109.8518521382874,333
109.8518521382874,378
109.8518521382874,406
109.8518521382874,399
103.92561789552192,339
103.92561789552192,384
103.92561789552192,389
103.92561789552192,354
103.92561789552192,318
93.6438816992038,374
93.6438816992038,386
93.6438816992038,325
93.6438816992038,362
93.6438816992038,351
97.53602895434796,349
97.53602895434796,356
97.53602895434796,330
97.53602895434796,421
97.53602895434796,322
91.5809976578124,442
91.5809976578124,347
91.5809976578124,395
91.5809976578124,423
91.5809976578124,323
93.83279679073988,445
93.83279679073988,366
93.83279679073988,443
93.83279679073988,450
93.83279679073988,375
95.74895758219404,361
95.74895758219404,368
95.74895758219404,364
95.74895758219404,349
95.74895758219404,404
96.35354865522405,396
96.35354865522405,412
96.35354865522405,378
96.35354865522405,332
96.35354865522405,389
97.24189506957076,335
97.24189506957076,319
97.24189506957076,432
97.24189506957076,339
97.24189506957076,386
101.30893184621948,351
101.30893184621948,373
101.30893184621948,92
101.30893184621948,361
101.30893184621948,369
105.71740123979188,312
105.71740123979188,371
105.71740123979188,306
105.71740123979188,353
105.71740123979188,400
108.42896036657856,373
108.42896036657856,429
108.42896036657856,308
108.42896036657856,417
